Código del ámbito,Ámbito,Código del área (M49),Área,Código del elemento,Elemento,Código del producto,Producto,Código del año,Año,Unidad,Valor,Símbolo,Descripción del Símbolo,Nota
"RL","Uso de la tierra","188","Costa Rica","5110","Superficie","6600","Superficie del País","1989","1989","1000 ha","5110","A","Cifra oficial",""
"RL","Uso de la tierra","188","Costa Rica","5110","Superficie","6600","Superficie del País","1990","1990","1000 ha","5110","A","Cifra oficial",""
"RL","Uso de la tierra","188","Costa Rica","5110","Superficie","6600","Superficie del País","1991","1991","1000 ha","5110","A","Cifra oficial",""
"RL","Uso de la tierra","188","Costa Rica","5110","Superficie","6600","Superficie del País","1992","1992","1000 ha","5110","A","Cifra oficial",""
"RL","Uso de la tierra","188","Costa Rica","5110","Superficie","6600","Superficie del País","1993","1993","1000 ha","5110","A","Cifra oficial",""
"RL","Uso de la tierra","188","Costa Rica","5110","Superficie","6600","Superficie del País","1994","1994","1000 ha","5110","A","Cifra oficial",""
"RL","Uso de la tierra","188","Costa Rica","5110","Superficie","6600","Superficie del País","1995","1995","1000 ha","5110","A","Cifra oficial",""
"RL","Uso de la tierra","188","Costa Rica","5110","Superficie","6600","Superficie del País","1996","1996","1000 ha","5110","A","Cifra oficial",""
"RL","Uso de la tierra","188","Costa Rica","5110","Superficie","6600","Superficie del País","1997","1997","1000 ha","5110","A","Cifra oficial",""
"RL","Uso de la tierra","188","Costa Rica","5110","Superficie","6600","Superficie del País","1998","1998","1000 ha","5110","A","Cifra oficial",""
"RL","Uso de la tierra","188","Costa Rica","5110","Superficie","6600","Superficie del País","1999","1999","1000 ha","5110","A","Cifra oficial",""
"RL","Uso de la tierra","188","Costa Rica","5110","Superficie","6600","Superficie del País","2000","2000","1000 ha","5110","A","Cifra oficial",""
"RL","Uso de la tierra","188","Costa Rica","5110","Superficie","6600","Superficie del País","2001","2001","1000 ha","5110","A","Cifra oficial",""
"RL","Uso de la tierra","188","Costa Rica","5110","Superficie","6600","Superficie del País","2002","2002","1000 ha","5110","A","Cifra oficial",""
"RL","Uso de la tierra","188","Costa Rica","5110","Superficie","6600","Superficie del País","2003","2003","1000 ha","5110","A","Cifra oficial",""
"RL","Uso de la tierra","188","Costa Rica","5110","Superficie","6600","Superficie del País","2004","2004","1000 ha","5110","A","Cifra oficial",""
"RL","Uso de la tierra","188","Costa Rica","5110","Superficie","6600","Superficie del País","2005","2005","1000 ha","5110","A","Cifra oficial",""
"RL","Uso de la tierra","188","Costa Rica","5110","Superficie","6600","Superficie del País","2006","2006","1000 ha","5110","A","Cifra oficial",""
"RL","Uso de la tierra","188","Costa Rica","5110","Superficie","6600","Superficie del País","2007","2007","1000 ha","5110","A","Cifra oficial",""
"RL","Uso de la tierra","188","Costa Rica","5110","Superficie","6600","Superficie del País","2008","2008","1000 ha","5110","A","Cifra oficial",""
"RL","Uso de la tierra","188","Costa Rica","5110","Superficie","6600","Superficie del País","2009","2009","1000 ha","5110","A","Cifra oficial",""
"RL","Uso de la tierra","188","Costa Rica","5110","Superficie","6600","Superficie del País","2010","2010","1000 ha","5110","A","Cifra oficial",""
"RL","Uso de la tierra","188","Costa Rica","5110","Superficie","6600","Superficie del País","2011","2011","1000 ha","5110","A","Cifra oficial",""
"RL","Uso de la tierra","188","Costa Rica","5110","Superficie","6600","Superficie del País","2012","2012","1000 ha","5110","A","Cifra oficial",""
"RL","Uso de la tierra","188","Costa Rica","5110","Superficie","6600","Superficie del País","2013","2013","1000 ha","5110","A","Cifra oficial",""
"RL","Uso de la tierra","188","Costa Rica","5110","Superficie","6600","Superficie del País","2014","2014","1000 ha","5110","A","Cifra oficial",""
"RL","Uso de la tierra","188","Costa Rica","5110","Superficie","6600","Superficie del País","2015","2015","1000 ha","5110","A","Cifra oficial",""
"RL","Uso de la tierra","188","Costa Rica","5110","Superficie","6600","Superficie del País","2016","2016","1000 ha","5110","A","Cifra oficial",""
"RL","Uso de la tierra","188","Costa Rica","5110","Superficie","6600","Superficie del País","2017","2017","1000 ha","5110","A","Cifra oficial",""
"RL","Uso de la tierra","188","Costa Rica","5110","Superficie","6600","Superficie del País","2018","2018","1000 ha","5110","A","Cifra oficial",""
"RL","Uso de la tierra","188","Costa Rica","5110","Superficie","6600","Superficie del País","2019","2019","1000 ha","5110","A","Cifra oficial",""
"RL","Uso de la tierra","188","Costa Rica","5110","Superficie","6600","Superficie del País","2020","2020","1000 ha","5110","A","Cifra oficial",""
"RL","Uso de la tierra","188","Costa Rica","5110","Superficie","6600","Superficie del País","2021","2021","1000 ha","5110","A","Cifra oficial",""
